Sample	Total Targets	Perfect Targets	Failed Targets	Missing Targets
GSJ	4671	3935	712	24
""	0	0	0	0
MiSeq 150bp	4671	4641	15	15
MiSeq 250bp	4671	4650	6	15
" "	0	0	0	0
PGM 100bp	4671	1042	171	3458
PGM 200bp	4671	3787	874	10
PGM 300bp	4671	4176	482	13
PGM 400bp	4671	4465	196	10
